Spanish word,English word,Spanish Sentence,English Sentence
¡de nada!,you’re welcome! / no problem!,Esta es una frase con la palabra '¡de nada!'.,This is a sentence with the word 'you’re welcome! / no problem!'.
por favor,please,Esta es una frase con la palabra 'por favor'.,This is a sentence with the word 'please'.
¡perdon!,excuse me!,Esta es una frase con la palabra '¡perdon!'.,This is a sentence with the word 'excuse me!'.
¡disculpe!,excuse me!,Esta es una frase con la palabra '¡disculpe!'.,This is a sentence with the word 'excuse me!'.
¡lo siento!,sorry!,Esta es una frase con la palabra '¡lo siento!'.,This is a sentence with the word 'sorry!'.
gracias,thank you,Esta es una frase con la palabra 'gracias'.,This is a sentence with the word 'thank you'.
salud,bless you,Esta es una frase con la palabra 'salud'.,This is a sentence with the word 'bless you'.
¿qué…?,what?,Esta es una frase con la palabra '¿qué…?'.,This is a sentence with the word 'what?'.
¿quién…?,who?,Esta es una frase con la palabra '¿quién…?'.,This is a sentence with the word 'who?'.
¿cuándo…?,when?,Esta es una frase con la palabra '¿cuándo…?'.,This is a sentence with the word 'when?'.
¿dónde…?,where?,Esta es una frase con la palabra '¿dónde…?'.,This is a sentence with the word 'where?'.
¿por qué…?,why?,Esta es una frase con la palabra '¿por qué…?'.,This is a sentence with the word 'why?'.
¿cuál?,which?,Esta es una frase con la palabra '¿cuál?'.,This is a sentence with the word 'which?'.
¿cómo…?,how?,Esta es una frase con la palabra '¿cómo…?'.,This is a sentence with the word 'how?'.
Yo,I,Esta es una frase con la palabra 'Yo'.,This is a sentence with the word 'I'.
tú (informal),you,Esta es una frase con la palabra 'tú (informal)'.,This is a sentence with the word 'you'.
usted (formal),you,Esta es una frase con la palabra 'usted (formal)'.,This is a sentence with the word 'you'.
él,he,Esta es una frase con la palabra 'él'.,This is a sentence with the word 'he'.
ella,she,Esta es una frase con la palabra 'ella'.,This is a sentence with the word 'she'.
nosotros/nosotras,we,Esta es una frase con la palabra 'nosotros/nosotras'.,This is a sentence with the word 'we'.
ustedes,you all,Esta es una frase con la palabra 'ustedes'.,This is a sentence with the word 'you all'.
ellos,they,Esta es una frase con la palabra 'ellos'.,This is a sentence with the word 'they'.
ellas(females),they,Esta es una frase con la palabra 'ellas(females)'.,This is a sentence with the word 'they'.
hola,hello,Esta es una frase con la palabra 'hola'.,This is a sentence with the word 'hello'.
buenos días,good morning,Esta es una frase con la palabra 'buenos días'.,This is a sentence with the word 'good morning'.
buenas tardes,good afternoon,Esta es una frase con la palabra 'buenas tardes'.,This is a sentence with the word 'good afternoon'.
buenas noches,good evening / good night,Esta es una frase con la palabra 'buenas noches'.,This is a sentence with the word 'good evening / good night'.
(yo) tengo … años,i am … years old.,Esta es una frase con la palabra '(yo) tengo … años'.,This is a sentence with the word 'i am … years old.'.
old,viejo/a,Esta es una frase con la palabra 'old'.,This is a sentence with the word 'viejo/a'.
young,joven,Esta es una frase con la palabra 'young'.,This is a sentence with the word 'joven'.
middle-aged,de mediana edad,Esta es una frase con la palabra 'middle-aged'.,This is a sentence with the word 'de mediana edad'.
youthful,juvenil,Esta es una frase con la palabra 'youthful'.,This is a sentence with the word 'juvenil'.
nuevo/a – new,,Esta es una frase con la palabra 'nuevo/a – new'.,This is a sentence with the word 'nan'.
¡feliz cumpleaños!,happy birthday!,Esta es una frase con la palabra '¡feliz cumpleaños!'.,This is a sentence with the word 'happy birthday!'.
¡felicitaciones!,congratulations!,Esta es una frase con la palabra '¡felicitaciones!'.,This is a sentence with the word 'congratulations!'.
¡diviértete!,have fun!,Esta es una frase con la palabra '¡diviértete!'.,This is a sentence with the word 'have fun!'.
¡buen provecho!,bon appetit!,Esta es una frase con la palabra '¡buen provecho!'.,This is a sentence with the word 'bon appetit!'.
¡bienvenidos! / ¡bienvenidas!,welcome!,Esta es una frase con la palabra '¡bienvenidos! / ¡bienvenidas!'.,This is a sentence with the word 'welcome!'.
salud!,cheers!,Esta es una frase con la palabra 'salud!'.,This is a sentence with the word 'cheers!'.
adiós,goodbye,Esta es una frase con la palabra 'adiós'.,This is a sentence with the word 'goodbye'.
chao,goodbye,Esta es una frase con la palabra 'chao'.,This is a sentence with the word 'goodbye'.
hasta luego,see you later (most likely today),Esta es una frase con la palabra 'hasta luego'.,This is a sentence with the word 'see you later (most likely today)'.
hasta mañana,see you tomorrow,Esta es una frase con la palabra 'hasta mañana'.,This is a sentence with the word 'see you tomorrow'.
nos vemos,see you (informal),Esta es una frase con la palabra 'nos vemos'.,This is a sentence with the word 'see you (informal)'.
¡cuídate mucho!,take care!,Esta es una frase con la palabra '¡cuídate mucho!'.,This is a sentence with the word 'take care!'.
¡tenga un buen día!,have a nice day!,Esta es una frase con la palabra '¡tenga un buen día!'.,This is a sentence with the word 'have a nice day!'.
¡hasta luego!,see you soon!,Esta es una frase con la palabra '¡hasta luego!'.,This is a sentence with the word 'see you soon!'.
¡buen viaje!,have a good trip!,Esta es una frase con la palabra '¡buen viaje!'.,This is a sentence with the word 'have a good trip!'.
Domingo,Sunday,Esta es una frase con la palabra 'Domingo'.,This is a sentence with the word 'Sunday'.
Lunes,Monday,Esta es una frase con la palabra 'Lunes'.,This is a sentence with the word 'Monday'.
Martes,Tuesday,Esta es una frase con la palabra 'Martes'.,This is a sentence with the word 'Tuesday'.
Miércoles,Wednesday,Esta es una frase con la palabra 'Miércoles'.,This is a sentence with the word 'Wednesday'.
Jueves,Thursday,Esta es una frase con la palabra 'Jueves'.,This is a sentence with the word 'Thursday'.
Viernes,Friday,Esta es una frase con la palabra 'Viernes'.,This is a sentence with the word 'Friday'.
Sabado,Saturday,Esta es una frase con la palabra 'Sabado'.,This is a sentence with the word 'Saturday'.
Enero,January,Esta es una frase con la palabra 'Enero'.,This is a sentence with the word 'January'.
Febrero,February,Esta es una frase con la palabra 'Febrero'.,This is a sentence with the word 'February'.
Marzo,March,Esta es una frase con la palabra 'Marzo'.,This is a sentence with the word 'March'.
Abril,April,Esta es una frase con la palabra 'Abril'.,This is a sentence with the word 'April'.
Mayo,May,Esta es una frase con la palabra 'Mayo'.,This is a sentence with the word 'May'.
Junio,June,Esta es una frase con la palabra 'Junio'.,This is a sentence with the word 'June'.
Julio,July,Esta es una frase con la palabra 'Julio'.,This is a sentence with the word 'July'.
Agosto,August,Esta es una frase con la palabra 'Agosto'.,This is a sentence with the word 'August'.
Septiembre,September,Esta es una frase con la palabra 'Septiembre'.,This is a sentence with the word 'September'.
Octubre,October,Esta es una frase con la palabra 'Octubre'.,This is a sentence with the word 'October'.
Noviembre,November,Esta es una frase con la palabra 'Noviembre'.,This is a sentence with the word 'November'.
Diciembre,December,Esta es una frase con la palabra 'Diciembre'.,This is a sentence with the word 'December'.
anteayer,day before yesterday,Esta es una frase con la palabra 'anteayer'.,This is a sentence with the word 'day before yesterday'.
ayer,yesterday,Esta es una frase con la palabra 'ayer'.,This is a sentence with the word 'yesterday'.
el año,year,Esta es una frase con la palabra 'el año'.,This is a sentence with the word 'year'.
el día,day,Esta es una frase con la palabra 'el día'.,This is a sentence with the word 'day'.
el mes,month,Esta es una frase con la palabra 'el mes'.,This is a sentence with the word 'month'.
el siglo,century,Esta es una frase con la palabra 'el siglo'.,This is a sentence with the word 'century'.
la hora,hour,Esta es una frase con la palabra 'la hora'.,This is a sentence with the word 'hour'.
hoy,today,Esta es una frase con la palabra 'hoy'.,This is a sentence with the word 'today'.
la semana,week,Esta es una frase con la palabra 'la semana'.,This is a sentence with the word 'week'.
madrugada,"dawn, very early in the morning",Esta es una frase con la palabra 'madrugada'.,"This is a sentence with the word 'dawn, very early in the morning'."
mañana,tomorrow,Esta es una frase con la palabra 'mañana'.,This is a sentence with the word 'tomorrow'.
mañana,morning,Esta es una frase con la palabra 'mañana'.,This is a sentence with the word 'morning'.
medianoche,midnight,Esta es una frase con la palabra 'medianoche'.,This is a sentence with the word 'midnight'.
mediodia,noon,Esta es una frase con la palabra 'mediodia'.,This is a sentence with the word 'noon'.
el minuto,minute,Esta es una frase con la palabra 'el minuto'.,This is a sentence with the word 'minute'.
la noche,night,Esta es una frase con la palabra 'la noche'.,This is a sentence with the word 'night'.
el pasado mañana,day after tomorrow,Esta es una frase con la palabra 'el pasado mañana'.,This is a sentence with the word 'day after tomorrow'.
los segundos,seconds,Esta es una frase con la palabra 'los segundos'.,This is a sentence with the word 'seconds'.
la tarde,afternoon,Esta es una frase con la palabra 'la tarde'.,This is a sentence with the word 'afternoon'.
This Spanish vocab helps you talk about your relatives.,,Esta es una frase con la palabra 'This Spanish vocab helps you talk about your relatives.'.,This is a sentence with the word 'nan'.
el padre,father,Esta es una frase con la palabra 'el padre'.,This is a sentence with the word 'father'.
el papá,dad,Esta es una frase con la palabra 'el papá'.,This is a sentence with the word 'dad'.
la madre,mother,Esta es una frase con la palabra 'la madre'.,This is a sentence with the word 'mother'.
la mamá,mom,Esta es una frase con la palabra 'la mamá'.,This is a sentence with the word 'mom'.
el hermano,brother,Esta es una frase con la palabra 'el hermano'.,This is a sentence with the word 'brother'.
la hermana,sister,Esta es una frase con la palabra 'la hermana'.,This is a sentence with the word 'sister'.
el hijo,son,Esta es una frase con la palabra 'el hijo'.,This is a sentence with the word 'son'.
la hija,daughter,Esta es una frase con la palabra 'la hija'.,This is a sentence with the word 'daughter'.
la familia cercana,close family,Esta es una frase con la palabra 'la familia cercana'.,This is a sentence with the word 'close family'.
el abuelo,grandfather,Esta es una frase con la palabra 'el abuelo'.,This is a sentence with the word 'grandfather'.
la abuela,grandmother,Esta es una frase con la palabra 'la abuela'.,This is a sentence with the word 'grandmother'.
el bisabuelo,great-grandfather,Esta es una frase con la palabra 'el bisabuelo'.,This is a sentence with the word 'great-grandfather'.
la bisabuela,great-grandmother,Esta es una frase con la palabra 'la bisabuela'.,This is a sentence with the word 'great-grandmother'.
la nieta,granddaughter,Esta es una frase con la palabra 'la nieta'.,This is a sentence with the word 'granddaughter'.
el nieto,grandson,Esta es una frase con la palabra 'el nieto'.,This is a sentence with the word 'grandson'.
el tío,uncle,Esta es una frase con la palabra 'el tío'.,This is a sentence with the word 'uncle'.
la tía,aunt,Esta es una frase con la palabra 'la tía'.,This is a sentence with the word 'aunt'.
el tío abuelo,great-uncle,Esta es una frase con la palabra 'el tío abuelo'.,This is a sentence with the word 'great-uncle'.
la tía abuela,great-aunt,Esta es una frase con la palabra 'la tía abuela'.,This is a sentence with the word 'great-aunt'.
el primo,cousin (male),Esta es una frase con la palabra 'el primo'.,This is a sentence with the word 'cousin (male)'.
la prima,cousin (female),Esta es una frase con la palabra 'la prima'.,This is a sentence with the word 'cousin (female)'.
mis parientes,my relatives,Esta es una frase con la palabra 'mis parientes'.,This is a sentence with the word 'my relatives'.
abrazar,to hug,Esta es una frase con la palabra 'abrazar'.,This is a sentence with the word 'to hug'.
amar,to love,Esta es una frase con la palabra 'amar'.,This is a sentence with the word 'to love'.
reír,to laugh,Esta es una frase con la palabra 'reír'.,This is a sentence with the word 'to laugh'.
perdonar,to forgive,Esta es una frase con la palabra 'perdonar'.,This is a sentence with the word 'to forgive'.
empezar,to start,Esta es una frase con la palabra 'empezar'.,This is a sentence with the word 'to start'.
seguir,to follow,Esta es una frase con la palabra 'seguir'.,This is a sentence with the word 'to follow'.
abrir,to open,Esta es una frase con la palabra 'abrir'.,This is a sentence with the word 'to open'.
buscar,to search,Esta es una frase con la palabra 'buscar'.,This is a sentence with the word 'to search'.
cantar,to sing,Esta es una frase con la palabra 'cantar'.,This is a sentence with the word 'to sing'.
cerrar,to close,Esta es una frase con la palabra 'cerrar'.,This is a sentence with the word 'to close'.
destruir,to destroy,Esta es una frase con la palabra 'destruir'.,This is a sentence with the word 'to destroy'.
dormir,to sleep,Esta es una frase con la palabra 'dormir'.,This is a sentence with the word 'to sleep'.
encontrar,to find,Esta es una frase con la palabra 'encontrar'.,This is a sentence with the word 'to find'.
esconder,to hide,Esta es una frase con la palabra 'esconder'.,This is a sentence with the word 'to hide'.
esperar,to wait,Esta es una frase con la palabra 'esperar'.,This is a sentence with the word 'to wait'.
faltar,to miss,Esta es una frase con la palabra 'faltar'.,This is a sentence with the word 'to miss'.
hacer,to do,Esta es una frase con la palabra 'hacer'.,This is a sentence with the word 'to do'.
intentar,to try,Esta es una frase con la palabra 'intentar'.,This is a sentence with the word 'to try'.
llamar,to call,Esta es una frase con la palabra 'llamar'.,This is a sentence with the word 'to call'.
llevar,to take,Esta es una frase con la palabra 'llevar'.,This is a sentence with the word 'to take'.
llorar,to cry,Esta es una frase con la palabra 'llorar'.,This is a sentence with the word 'to cry'.
luchar,to fight,Esta es una frase con la palabra 'luchar'.,This is a sentence with the word 'to fight'.
mentir,to lie,Esta es una frase con la palabra 'mentir'.,This is a sentence with the word 'to lie'.
odiar,to hate,Esta es una frase con la palabra 'odiar'.,This is a sentence with the word 'to hate'.
recibir,to receive,Esta es una frase con la palabra 'recibir'.,This is a sentence with the word 'to receive'.
reconocer,to recognize,Esta es una frase con la palabra 'reconocer'.,This is a sentence with the word 'to recognize'.
robar,to steal,Esta es una frase con la palabra 'robar'.,This is a sentence with the word 'to steal'.
salvar,to save,Esta es una frase con la palabra 'salvar'.,This is a sentence with the word 'to save'.
sonreír,to smile,Esta es una frase con la palabra 'sonreír'.,This is a sentence with the word 'to smile'.
soñar,to dream,Esta es una frase con la palabra 'soñar'.,This is a sentence with the word 'to dream'.
tomar,to take,Esta es una frase con la palabra 'tomar'.,This is a sentence with the word 'to take'.
Vivir,to live,Esta es una frase con la palabra 'Vivir'.,This is a sentence with the word 'to live'.
Spice up your Spanish with these common words for your senses.,,Esta es una frase con la palabra 'Spice up your Spanish with these common words for your senses.'.,This is a sentence with the word 'nan'.
tranquilo/a – quiet,,Esta es una frase con la palabra 'tranquilo/a – quiet'.,This is a sentence with the word 'nan'.
ruidoso/a – loud,,Esta es una frase con la palabra 'ruidoso/a – loud'.,This is a sentence with the word 'nan'.
gritar,to shout,Esta es una frase con la palabra 'gritar'.,This is a sentence with the word 'to shout'.
escuchar,to hear,Esta es una frase con la palabra 'escuchar'.,This is a sentence with the word 'to hear'.
silencio,silence,Esta es una frase con la palabra 'silencio'.,This is a sentence with the word 'silence'.
alto,loud,Esta es una frase con la palabra 'alto'.,This is a sentence with the word 'loud'.
bajo,soft,Esta es una frase con la palabra 'bajo'.,This is a sentence with the word 'soft'.
ensordecedor,deafening,Esta es una frase con la palabra 'ensordecedor'.,This is a sentence with the word 'deafening'.
agudo,"sharp, high-pitched",Esta es una frase con la palabra 'agudo'.,"This is a sentence with the word 'sharp, high-pitched'."
grave,low-pitched,Esta es una frase con la palabra 'grave'.,This is a sentence with the word 'low-pitched'.
melodioso,melodious,Esta es una frase con la palabra 'melodioso'.,This is a sentence with the word 'melodious'.
armónico,harmonic,Esta es una frase con la palabra 'armónico'.,This is a sentence with the word 'harmonic'.
zumbido,buzz,Esta es una frase con la palabra 'zumbido'.,This is a sentence with the word 'buzz'.
sordo,deaf,Esta es una frase con la palabra 'sordo'.,This is a sentence with the word 'deaf'.
duro de oíd,hard of hearing,Esta es una frase con la palabra 'duro de oíd'.,This is a sentence with the word 'hard of hearing'.
oído fino,acute hearing,Esta es una frase con la palabra 'oído fino'.,This is a sentence with the word 'acute hearing'.
problemas de audición,hearing-impaired,Esta es una frase con la palabra 'problemas de audición'.,This is a sentence with the word 'hearing-impaired'.
fuera de alcance,out of earshot,Esta es una frase con la palabra 'fuera de alcance'.,This is a sentence with the word 'out of earshot'.
ver,to see,Esta es una frase con la palabra 'ver'.,This is a sentence with the word 'to see'.
mirar,to look,Esta es una frase con la palabra 'mirar'.,This is a sentence with the word 'to look'.
de colores,colorful,Esta es una frase con la palabra 'de colores'.,This is a sentence with the word 'colorful'.
blanco y negro,black and white,Esta es una frase con la palabra 'blanco y negro'.,This is a sentence with the word 'black and white'.
brillante,bright,Esta es una frase con la palabra 'brillante'.,This is a sentence with the word 'bright'.
apagado,dim,Esta es una frase con la palabra 'apagado'.,This is a sentence with the word 'dim'.
claro,light,Esta es una frase con la palabra 'claro'.,This is a sentence with the word 'light'.
oscuro,dark,Esta es una frase con la palabra 'oscuro'.,This is a sentence with the word 'dark'.
ciego,blind,Esta es una frase con la palabra 'ciego'.,This is a sentence with the word 'blind'.
mirar fijamente,to stare,Esta es una frase con la palabra 'mirar fijamente'.,This is a sentence with the word 'to stare'.
echar un vistazo,to glance,Esta es una frase con la palabra 'echar un vistazo'.,This is a sentence with the word 'to glance'.
bizquear,to squint,Esta es una frase con la palabra 'bizquear'.,This is a sentence with the word 'to squint'.
guiñar,to wink,Esta es una frase con la palabra 'guiñar'.,This is a sentence with the word 'to wink'.
parpadear,to blink,Esta es una frase con la palabra 'parpadear'.,This is a sentence with the word 'to blink'.
tocar,to touch,Esta es una frase con la palabra 'tocar'.,This is a sentence with the word 'to touch'.
agarrar,to grab,Esta es una frase con la palabra 'agarrar'.,This is a sentence with the word 'to grab'.
suave,soft,Esta es una frase con la palabra 'suave'.,This is a sentence with the word 'soft'.
áspero(a),rough,Esta es una frase con la palabra 'áspero(a)'.,This is a sentence with the word 'rough'.
liso(a),smooth,Esta es una frase con la palabra 'liso(a)'.,This is a sentence with the word 'smooth'.
rugoso(a),wrinkled,Esta es una frase con la palabra 'rugoso(a)'.,This is a sentence with the word 'wrinkled'.
pegajoso(a),sticky,Esta es una frase con la palabra 'pegajoso(a)'.,This is a sentence with the word 'sticky'.
punzante,sharp,Esta es una frase con la palabra 'punzante'.,This is a sentence with the word 'sharp'.
sedoso(a),silky,Esta es una frase con la palabra 'sedoso(a)'.,This is a sentence with the word 'silky'.
esponjoso(a),spongy,Esta es una frase con la palabra 'esponjoso(a)'.,This is a sentence with the word 'spongy'.
mullido(a),fluffy,Esta es una frase con la palabra 'mullido(a)'.,This is a sentence with the word 'fluffy'.
hormigueo,tingle,Esta es una frase con la palabra 'hormigueo'.,This is a sentence with the word 'tingle'.
entumecido(a),numb,Esta es una frase con la palabra 'entumecido(a)'.,This is a sentence with the word 'numb'.
rozar,to touch gently,Esta es una frase con la palabra 'rozar'.,This is a sentence with the word 'to touch gently'.
acariciar,to caress,Esta es una frase con la palabra 'acariciar'.,This is a sentence with the word 'to caress'.
agarrar,to grab,Esta es una frase con la palabra 'agarrar'.,This is a sentence with the word 'to grab'.
olor,smell,Esta es una frase con la palabra 'olor'.,This is a sentence with the word 'smell'.
el perfume,scent,Esta es una frase con la palabra 'el perfume'.,This is a sentence with the word 'scent'.
la fragancia,fragrance,Esta es una frase con la palabra 'la fragancia'.,This is a sentence with the word 'fragrance'.
el hedor,stench,Esta es una frase con la palabra 'el hedor'.,This is a sentence with the word 'stench'.
apestoso(a),smelly,Esta es una frase con la palabra 'apestoso(a)'.,This is a sentence with the word 'smelly'.
fresco(a),fresh,Esta es una frase con la palabra 'fresco(a)'.,This is a sentence with the word 'fresh'.
acre,pungent,Esta es una frase con la palabra 'acre'.,This is a sentence with the word 'pungent'.
húmedo(a),musty,Esta es una frase con la palabra 'húmedo(a)'.,This is a sentence with the word 'musty'.
podrido(a),rotten,Esta es una frase con la palabra 'podrido(a)'.,This is a sentence with the word 'rotten'.
ahumado(a),smoky,Esta es una frase con la palabra 'ahumado(a)'.,This is a sentence with the word 'smoky'.
apestar,to stink,Esta es una frase con la palabra 'apestar'.,This is a sentence with the word 'to stink'.
gusto,- taste,Esta es una frase con la palabra 'gusto'.,This is a sentence with the word '- taste'.
sabor,flavor,Esta es una frase con la palabra 'sabor'.,This is a sentence with the word 'flavor'.
probar,try,Esta es una frase con la palabra 'probar'.,This is a sentence with the word 'try'.
sabroso,está sabrosa,Esta es una frase con la palabra 'sabroso'.,This is a sentence with the word 'está sabrosa'.
delicioso,delicious,Esta es una frase con la palabra 'delicioso'.,This is a sentence with the word 'delicious'.
perfecto,perfect,Esta es una frase con la palabra 'perfecto'.,This is a sentence with the word 'perfect'.
apetitoso,appetizing,Esta es una frase con la palabra 'apetitoso'.,This is a sentence with the word 'appetizing'.
dulce,sweet,Esta es una frase con la palabra 'dulce'.,This is a sentence with the word 'sweet'.
dulzón,sugary,Esta es una frase con la palabra 'dulzón'.,This is a sentence with the word 'sugary'.
soso,bland,Esta es una frase con la palabra 'soso'.,This is a sentence with the word 'bland'.
abierto/a – open,,Esta es una frase con la palabra 'abierto/a – open'.,This is a sentence with the word 'nan'.
ancho/a – wide,,Esta es una frase con la palabra 'ancho/a – wide'.,This is a sentence with the word 'nan'.
estrecho/a – narrow,,Esta es una frase con la palabra 'estrecho/a – narrow'.,This is a sentence with the word 'nan'.
lejano/a – far,,Esta es una frase con la palabra 'lejano/a – far'.,This is a sentence with the word 'nan'.
cercano/a – close,,Esta es una frase con la palabra 'cercano/a – close'.,This is a sentence with the word 'nan'.
alegre – joyful,,Esta es una frase con la palabra 'alegre – joyful'.,This is a sentence with the word 'nan'.
"gracioso/a – funny, amusing",,"Esta es una frase con la palabra 'gracioso/a – funny, amusing'.",This is a sentence with the word 'nan'.
serio/a – serious,,Esta es una frase con la palabra 'serio/a – serious'.,This is a sentence with the word 'nan'.
tímido/a – shy,,Esta es una frase con la palabra 'tímido/a – shy'.,This is a sentence with the word 'nan'.
valiente – brave,,Esta es una frase con la palabra 'valiente – brave'.,This is a sentence with the word 'nan'.
loco/a – crazy,,Esta es una frase con la palabra 'loco/a – crazy'.,This is a sentence with the word 'nan'.
contento(a),content,Esta es una frase con la palabra 'contento(a)'.,This is a sentence with the word 'content'.
feliz,happy,Esta es una frase con la palabra 'feliz'.,This is a sentence with the word 'happy'.
preocupado(a),worried,Esta es una frase con la palabra 'preocupado(a)'.,This is a sentence with the word 'worried'.
nervioso(a),nervous,Esta es una frase con la palabra 'nervioso(a)'.,This is a sentence with the word 'nervous'.
tranquilo(a),tranquil,Esta es una frase con la palabra 'tranquilo(a)'.,This is a sentence with the word 'tranquil'.
calmado(a),calm,Esta es una frase con la palabra 'calmado(a)'.,This is a sentence with the word 'calm'.
emocionado(a),excited,Esta es una frase con la palabra 'emocionado(a)'.,This is a sentence with the word 'excited'.
largo/a,long,Esta es una frase con la palabra 'largo/a'.,This is a sentence with the word 'long'.
corto/a,short,Esta es una frase con la palabra 'corto/a'.,This is a sentence with the word 'short'.
liso/a,straight,Esta es una frase con la palabra 'liso/a'.,This is a sentence with the word 'straight'.
rizado/a,curly,Esta es una frase con la palabra 'rizado/a'.,This is a sentence with the word 'curly'.
ondulado/a,wavy,Esta es una frase con la palabra 'ondulado/a'.,This is a sentence with the word 'wavy'.
castaño/a,brown,Esta es una frase con la palabra 'castaño/a'.,This is a sentence with the word 'brown'.
rubio/a,blonde,Esta es una frase con la palabra 'rubio/a'.,This is a sentence with the word 'blonde'.
pelirrojo/a,red,Esta es una frase con la palabra 'pelirrojo/a'.,This is a sentence with the word 'red'.
negro/a,black,Esta es una frase con la palabra 'negro/a'.,This is a sentence with the word 'black'.
canoso/a,grey,Esta es una frase con la palabra 'canoso/a'.,This is a sentence with the word 'grey'.
abundante,thick,Esta es una frase con la palabra 'abundante'.,This is a sentence with the word 'thick'.
fino/a,thin,Esta es una frase con la palabra 'fino/a'.,This is a sentence with the word 'thin'.
escalado/a,layered,Esta es una frase con la palabra 'escalado/a'.,This is a sentence with the word 'layered'.
teñido/a,dyed,Esta es una frase con la palabra 'teñido/a'.,This is a sentence with the word 'dyed'.
saludable,healthy,Esta es una frase con la palabra 'saludable'.,This is a sentence with the word 'healthy'.
claro/a,light,Esta es una frase con la palabra 'claro/a'.,This is a sentence with the word 'light'.
encrespado/a,frizzy,Esta es una frase con la palabra 'encrespado/a'.,This is a sentence with the word 'frizzy'.
brillante,shiny,Esta es una frase con la palabra 'brillante'.,This is a sentence with the word 'shiny'.
calvo/a,bald,Esta es una frase con la palabra 'calvo/a'.,This is a sentence with the word 'bald'.
grande – big,,Esta es una frase con la palabra 'grande – big'.,This is a sentence with the word 'nan'.
pequeño/a – small,,Esta es una frase con la palabra 'pequeño/a – small'.,This is a sentence with the word 'nan'.
enorme – huge,,Esta es una frase con la palabra 'enorme – huge'.,This is a sentence with the word 'nan'.
delgado/a,lean,Esta es una frase con la palabra 'delgado/a'.,This is a sentence with the word 'lean'.
esbelto/a,slender,Esta es una frase con la palabra 'esbelto/a'.,This is a sentence with the word 'slender'.
flaco/a,skinny,Esta es una frase con la palabra 'flaco/a'.,This is a sentence with the word 'skinny'.
menudo/a,petite,Esta es una frase con la palabra 'menudo/a'.,This is a sentence with the word 'petite'.
alto/a,tall,Esta es una frase con la palabra 'alto/a'.,This is a sentence with the word 'tall'.
bajo/a,short,Esta es una frase con la palabra 'bajo/a'.,This is a sentence with the word 'short'.
hermoso/a,beautiful,Esta es una frase con la palabra 'hermoso/a'.,This is a sentence with the word 'beautiful'.
guapo/a,handsome,Esta es una frase con la palabra 'guapo/a'.,This is a sentence with the word 'handsome'.
feo/a,ugly,Esta es una frase con la palabra 'feo/a'.,This is a sentence with the word 'ugly'.
adorable,cute,Esta es una frase con la palabra 'adorable'.,This is a sentence with the word 'cute'.
bonita,pretty,Esta es una frase con la palabra 'bonita'.,This is a sentence with the word 'pretty'.
