Spanish word,English word,Spanish Sentence,English Sentence
por favor,please,"¿Puedes cerrar la ventana, por favor?","""Can you close the window, please?"""
¡perdon!,excuse me!,"¡Perdón, ¿puedo pasar por aquí?","""Excuse me, may I pass through here?"""
¡disculpe!,excuse me!,"¡Disculpe, no me di cuenta de que estaba ocupado!","""Excuse me, I didn't realize you were busy!"""
¡lo siento!,sorry!,"¡Lo siento mucho, pero no podré asistir a la reunión mañana!","I'm very sorry, but I won't be able to attend the meeting tomorrow!"
gracias,thank you,¡Gracias por tu amabilidad y apoyo!,Thank you for your kindness and support!
salud,bless you,¡Brindemos por la salud y la felicidad de todos!,Let's raise a toast to the health and happiness of everyone!
¿qué…?,what?,¿Qué quieres hacer hoy?,What do you want to do today?
¿quién…?,who?,¿Quién ganó el partido de ayer?,"""¿Quién ganó el partido de ayer?"" was the question on everyone's minds as they eagerly awaited the results of the game."
¿cuándo…?,when?,¿Cuándo vas a salir de vacaciones este año?,"""When are you going on vacation this year?"""
¿dónde…?,where?,¿Dónde está el supermercado más cercano?,"Sure! ""Where is the nearest supermarket located?"""
¿por qué…?,why?,¿Por qué no viniste a la fiesta ayer?,"""Why didn't you come to the party yesterday?"""
¿cuál?,which?,¿Cuál es tu color favorito?,"""¿Cuál es tu color favorito?"" is Spanish and translates to ""What is your favorite color?"" in English."
¿cómo…?,how?,¿Cómo llegaste a casa tan rápido?,"""How did you get home so quickly?"""
Yo,I,Yo vivo en una ciudad pequeña en las montañas.,I live in a small city in the mountains.
tú (informal),you,"Claro, aquí tienes una oración en español utilizando la palabra 'tú': ""Tú eres una persona muy amable"".","""Of course, here is a sentence in English using the word 'you': 'You are a very kind person.'"""
usted (formal),you,¿Cómo se encuentra usted hoy?,"""How are you feeling today?"""
él,he,Él es un estudiante muy inteligente.,"""He is a very intelligent student."""
ella,she,Ella fue a la playa con sus amigos.,She went to the beach with her friends.
nosotros/nosotras,we,Nosotros vamos a la playa este fin de semana.,We are going to the beach this weekend.
ustedes,you all,"Claro, aquí tienes: ""¿Ustedes van a venir a la fiesta mañana?""","""Of course, here you go: 'Are you all going to come to the party tomorrow?'"""
ellos,they,Ellos salieron de vacaciones a la playa.,"""They went on vacation to the beach."""
ellas(females),they,Ellas están estudiando para su examen de español mañana.,They are studying for their Spanish exam tomorrow.
hola,hello,¡Hola! ¿Cómo estás hoy?,"""¡Hola! ¿Cómo estás hoy?"" is a Spanish sentence that translates to 'Hello! How are you today?'."
buenos días,good morning,¡Buenos días! ¿Cómo estás hoy?,"""¡Buenos días! ¿Cómo estás hoy?"" is a common greeting in Spanish, which translates to ""Good morning! How are you today?"""
buenas tardes,good afternoon,¡Buenas tardes! ¿Cómo estás hoy?,Good afternoon! How are you today?
buenas noches,good evening / good night,"¡Buenas noches, que descanses!","""¡Buenas noches, que descanses! Have a peaceful night."""
(yo) tengo … años,i am … years old.,"Claro, aquí tienes una frase: ""(Yo) tengo 30 años y me siento muy feliz y agradecido por todo lo que he vivido hasta ahora"".","Of course, here is a sentence: ""I am 30 years old and I feel very happy and grateful for everything I have experienced so far."""
old,viejo/a,La casa antigua está llena de historia.,The old house is full of history.
young,joven,El joven estudiante estaba emocionado por su primer día de clases.,The young student was excited for his first day of class.
middle-aged,de mediana edad,El hombre de mediana edad estaba caminando por el parque.,The middle-aged man was walking through the park.
youthful,juvenil,La energía de la juventud es contagiosa y refrescante.,The energy of youth is contagious and refreshing.
nuevo/a – new,,¡Me encanta mi nuevo libro!,I love my new book!
¡feliz cumpleaños!,happy birthday!,"¡Feliz cumpleaños a mi hermana, que cumple 25 años hoy!","Happy birthday to my sister, who turns 25 years old today!"
¡felicitaciones!,congratulations!,¡Felicitaciones por tu excelente trabajo en el proyecto!,Congratulations on your excellent work on the project!
¡diviértete!,have fun!,¡Diviértete mucho en tu fiesta de cumpleaños!,"""Have a lot of fun at your birthday party!"""
¡buen provecho!,bon appetit!,¡Buen provecho! Disfruten de la deliciosa cena que prepararon juntos.,Enjoy the delicious dinner you prepared together. ¡Buen provecho!
¡bienvenidos! / ¡bienvenidas!,welcome!,¡Bienvenidos a la playa en un día soleado y perfecto para relajarse!,"""Welcome to the beach on a sunny day, perfect for relaxing!"""
salud!,cheers!,¡Brindo por tu salud y felicidad!,I raise my glass to your health and happiness!
adiós,goodbye,"¡Hasta pronto, adiós!","""Thanks for inviting me to the party, ¡Hasta pronto, adiós!."""
chao,goodbye,"¡Hasta luego, chao!","Sure! Here is a sentence for you: ""After saying '¡Hasta luego, chao!' to his friends, Miguel headed home for the day."""
hasta luego,see you later (most likely today),"Claro, aquí tienes una oración: ""Hasta luego, nos vemos mañana en la reunión"".","""Of course, here's a sentence: 'See you later, we'll meet tomorrow at the meeting'."""
hasta mañana,see you tomorrow,"Claro, aquí tienes: ""Nos vemos en el trabajo, hasta mañana"".","Of course, here you go: ""See you at work, hasta mañana."""
nos vemos,see you (informal),"Claro, aquí tienes un ejemplo de una oración en español con la expresión 'nos vemos': ""¡Hasta luego, nos vemos mañana en la reunión!""","""Sure, here is an example of a sentence in Spanish with the expression 'nos vemos': '¡Hasta luego, nos vemos mañana en la reunión!'"""
¡cuídate mucho!,take care!,¡Cuídate mucho cuando salgas a la calle sin paraguas!,Please take care when you go out on the street without an umbrella!
¡tenga un buen día!,have a nice day!,¡Le deseo que tenga un buen día lleno de alegría y oportunidades!,I wish you have a good day filled with joy and opportunities!
¡hasta luego!,see you soon!,¡Hasta luego! Nos vemos en el concierto esta noche.,"Sure! Here's a sentence using the phrase ""¡Hasta luego! Nos vemos en el concierto esta noche."": ""I have to run some errands now, but I'll see you later! Nos vemos en el conc"
¡buen viaje!,have a good trip!,¡Le deseo un buen viaje a mi amiga que viajará a Europa!,I wish my friend who is traveling to Europe a safe journey!
Domingo,Sunday,El próximo domingo iremos a la playa en familia.,Next Sunday we will go to the beach with our family.
Lunes,Monday,El próximo lunes tengo una reunión importante en la oficina.,"Next Monday, I have an important meeting at the office."
Martes,Tuesday,El próximo Martes tengo una cita médica.,"On Tuesday, I have a medical appointment."
Miércoles,Wednesday,¡Mañana es miércoles y tengo una reunión importante en la oficina!,Tomorrow is Wednesday and I have an important meeting in the office!
Jueves,Thursday,El concierto se llevará a cabo el Jueves por la noche.,The concert will take place on Thursday night.
Viernes,Friday,"Claro, aquí tienes: ¡Mañana es Viernes y estoy emocionado por el fin de semana!","Of course, here you go: ""Tomorrow is Friday and I'm excited for the weekend!"""
Sabado,Saturday,El sábado voy a ir al parque a disfrutar del aire fresco.,"On Saturday, I am going to go to the park to enjoy the fresh air."
Enero,January,En enero celebramos el inicio de un nuevo año.,"In January, we celebrate the beginning of a new year."
Febrero,February,El cumpleaños de mi hermana es en Febrero.,My sister's birthday is in February.
Marzo,March,En marzo celebraremos mi cumpleaños.,In March we will celebrate my birthday.
Abril,April,"En Abril, las flores comienzan a florecer.","In April, the flowers begin to bloom."
Mayo,May,En el mes de mayo celebramos el Día de la Madre.,"In the month of May, we celebrate Mother's Day."
Junio,June,"Claro, aquí tienes una oración: En junio, celebramos mi cumpleaños con una fiesta especial.","Of course, here is a sentence: In June, we celebrate my birthday with a special party."
Julio,July,Julio es el mes en que celebramos mi cumpleaños.,"""July is the month when we celebrate my birthday."""
Agosto,August,"En Agosto, mi familia y yo vamos de vacaciones a la playa.","In August, my family and I go on vacation to the beach."
Septiembre,September,En septiembre empieza el otoño en el hemisferio norte.,"""In September, autumn begins in the northern hemisphere."""
Octubre,October,"En Octubre, el clima comienza a enfriarse en muchas regiones.","In October, the weather starts to cool down in many regions."
Noviembre,November,El cumpleaños de mi hermana es en noviembre.,My sister's birthday is in November.
Diciembre,December,"Claro, aquí tienes una oración en español utilizando la palabra 'Diciembre': ""En Diciembre celebraremos las fiestas navideñas en familia"".","Of course, here is a sentence in English using the word 'December': ""In December, we will celebrate the holiday season with family.""."
anteayer,day before yesterday,Clase fue cancelada anteayer debido a una tormenta de nieve.,'Class was canceled the day before yesterday due to a snowstorm.'
ayer,yesterday,Ayer fui al parque con mis amigos.,"Yesterday, I went to the park with my friends."
el año,year,El año pasado viajé a España con mi familia.,Last year I traveled to Spain with my family.
el día,day,El día de hoy hace mucho sol en la playa.,"Today, it is very sunny at the beach."
el mes,month,El mes pasado fui de vacaciones a la playa.,"""Last month, I went on vacation to the beach."""
el siglo,century,El siglo XXI trajo consigo avances tecnológicos impresionantes.,The 21st century brought along impressive technological advancements.
la hora,hour,A qué hora llega el tren a la estación?,At what time does the train arrive at the station?
hoy,today,Hoy voy a visitar a mi abuela en su casa.,Today I am going to visit my grandmother at her house.
la semana,week,Voy a trabajar duro esta semana para completar todos mis proyectos a tiempo.,"""I am going to work hard this week to complete all my projects on time."""
madrugada,"dawn, very early in the morning",Claramente recuerdo las estrellas brillando en la madrugada mientras caminábamos por la playa.,I vividly remember the stars shining in the early morning as we walked along the beach.
mañana,tomorrow,Mañana voy a estudiar para mi examen de matemáticas.,Tomorrow I am going to study for my math exam.
mañana,morning,Mañana voy a la tienda a comprar el regalo de cumpleaños para mi amiga.,"Tomorrow, I am going to the store to buy the birthday gift for my friend."
medianoche,midnight,"A medianoche, los lobos aúllan bajo la brillante luna llena.","At midnight, the wolves howl beneath the bright full moon."
mediodia,noon,"Claro, aquí tienes una oración: ""Vamos a almorzar juntos al mediodía mañana.""","Of course, here is a sentence: ""Vamos a almorzar juntos al mediodía mañana."""
el minuto,minute,"Por favor, espérame un momento, solo necesito revisar algo por un minuto.","""Please wait for me a moment, I just need to check something for a minute."""
la noche,night,"Claro, aquí tienes una frase: ""Me encanta pasear por la ciudad durante la noche"".","Of course, here is a sentence: ""I love walking around the city at night."""
el pasado mañana,day after tomorrow,Mañana es martes; el pasado mañana será jueves.,Tomorrow is Tuesday; the day after tomorrow will be Thursday.
los segundos,seconds,Los segundos pasan rápido cuando estás disfrutando de la vida.,"""The seconds fly by quickly when you are enjoying life."""
la tarde,afternoon,"Por las tardes, me gusta pasear por el parque.","In the evenings, I enjoy taking a walk in the park."
This Spanish vocab helps you talk about your relatives.,,Este vocabulario en español te ayuda a hablar sobre tus familiares.,This vocabulary in Spanish helps you talk about your family members.
el padre,father,El padre preparó una deliciosa cena para toda la familia.,The father prepared a delicious dinner for the whole family.
el papá,dad,El papá de Sofía es muy cariñoso y siempre la apoya en todo.,Sofia's dad is very affectionate and always supports her in everything.
la madre,mother,La madre preparó una deliciosa cena para su familia.,The mother prepared a delicious dinner for her family.
la mamá,mom,La mamá preparó una deliciosa cena para su familia.,The mom prepared a delicious dinner for her family.
el hermano,brother,Mi hermano mayor es muy inteligente.,"""My older brother is very intelligent."""
la hermana,sister,La hermana de mi amigo es muy simpática.,The sister of my friend is very friendly.
el hijo,son,El hijo de mi vecino estudia en la universidad.,The son of my neighbor studies at the university.
la hija,daughter,La hija de Ana es muy inteligente y talentosa.,Ana's daughter is very intelligent and talented.
la familia cercana,close family,Me gusta pasar tiempo con la familia cercana los fines de semana.,I enjoy spending time with close family on weekends.
el abuelo,grandfather,El abuelo preparó su receta especial de sopa para la cena.,The grandfather prepared his special soup recipe for dinner.
la abuela,grandmother,La abuela preparó un delicioso pastel para el cumpleaños de su nieto.,"""The grandmother prepared a delicious cake for her grandson's birthday."""
el bisabuelo,great-grandfather,El bisabuelo de mi madre cumplirá cien años la semana que viene.,My mother's great-grandfather will turn one hundred years old next week.
la bisabuela,great-grandmother,La bisabuela de mi mamá cumplió cien años este mes.,My mom's great-grandmother turned one hundred years old this month.
la nieta,granddaughter,La nieta de Ana está aprendiendo a tocar el piano.,Ana's granddaughter is learning to play the piano.
el nieto,grandson,'El nieto de mi abuela juega en el parque todos los días.',"""The grandson of my grandmother plays in the park every day."""
el tío,uncle,"Claro, aquí tienes una frase: ""Ayer vi a mi tío en el parque"".","Of course, here is a sentence: ""Yesterday I saw my uncle at the park.""."
la tía,aunt,La tía de Ana siempre le prepara su postre favorito.,Ana's aunt always makes her favorite dessert for her.
el tío abuelo,great-uncle,"Mi abuelo siempre cuenta historias divertidas sobre su hermano, el tío abuelo.","My grandfather always tells funny stories about his brother, the great-uncle."
la tía abuela,great-aunt,"Claro, aquí tienes: ""Mi hermana se parece mucho a nuestra la tía abuela en carácter y personalidad"".","Of course, here you go: ""My sister resembles our great aunt a lot in character and personality."""
el primo,cousin (male),Mi hermana va a visitar a su primo en Madrid el fin de semana.,My sister is going to visit her cousin in Madrid this weekend.
la prima,cousin (female),"Claro, aquí tienes una frase: ""Mañana iré a visitar a mi prima en su casa"".","Claro, here is a sentence: ""Mañana iré a visitar a mi prima en su casa."""
mis parientes,my relatives,"Claro, aquí tienes una oración: Mis parientes siempre están ahí para apoyarme en los momentos difíciles.","Of course, here is a sentence: My relatives are always there to support me in difficult times."
abrazar,to hug,Me encanta abrazar a mis seres queridos cuando los veo.,"""I love hugging my loved ones when I see them."""
amar,to love,"Claro, aquí tienes una oración: ""Es hermoso amar y ser amado en return.""","¡Claro, aquí tienes una oración: ""Es hermoso amar y ser amado en return.""!"
reír,to laugh,¡Me encanta cuando mis amigos me hacen reír con sus chistes!,I love it when my friends make me laugh with their jokes!
perdonar,to forgive,"Claro, aquí tienes: ""Es importante aprender a perdonar para liberar el corazón de rencores.""","""Of course, here you go: 'It is important to learn to forgive in order to free the heart from resentments.'"""
empezar,to start,"Claro, aquí tienes una oración: ""Voy a empezar a leer un nuevo libro esta noche.""","Of course, here is a sentence: ""I am going to start reading a new book tonight."""
seguir,to follow,"Claro, aquí tienes una oración: ""Es importante seguir adelante, sin importar los obstáculos que puedan surgir en el camino.""","Claro, here is a sentence: ""It is important to keep moving forward, no matter the obstacles that may arise along the way."""
abrir,to open,Voy a abrir la ventana para dejar entrar un poco de aire fresco.,I am going to open the window to let in some fresh air.
buscar,to search,"Claro, aquí tienes una oración: ""Voy a buscar las llaves del carro antes de salir de casa.""","Of course, here's a sentence: ""I'm going to look for the car keys before leaving the house."""
cantar,to sing,"Claro, aquí tienes: ""Me encanta cantar en la ducha todos los días.""","""Of course, here you go: 'I love to sing in the shower every day.'"""
cerrar,to close,El restaurante va a cerrar temprano esta noche.,The restaurant is going to close early tonight.
destruir,to destroy,La guerra puede destruir ciudades enteras.,War can destroy entire cities.
dormir,to sleep,"Claro, aquí tienes una oración en español: ""Después de cenar, me gusta dormir profundamente"".","Of course, here is a sentence in English: ""After dinner, I like to sleep deeply."""
encontrar,to find,"Claro, aquí tienes una frase: ""Espero encontrar mi libro favorito en la librería mañana"".","Of course, here is a sentence: ""I hope to find my favorite book at the bookstore tomorrow.""."
esconder,to hide,El gato suele esconderse debajo de la cama cuando hay visitas en la casa.,The cat usually hides under the bed when there are visitors in the house.
esperar,to wait,"Claro, aquí tienes: ""Voy a esperar a mi amigo en la esquina"". (I will wait for my friend on the corner).","Claro, aquí tienes: ""Voy a esperar a mi amigo en la esquina."""
faltar,to miss,"Claro, aquí tienes una oración: ""Me falta tiempo para terminar este proyecto"".","Of course, here is a sentence: ""I lack time to finish this project."""
hacer,to do,"Claro, aquí tienes una oración en español: ""Voy a hacer la tarea esta tarde.""","Sure, here is a sentence in English: ""I am going to do the homework this afternoon."""
intentar,to try,Voy a intentar aprender a tocar guitarra este año.,I am going to try to learn to play the guitar this year.
llamar,to call,"Por favor, llámame cuando llegues a casa.","""Please call me when you arrive home."""
llevar,to take,"Claro, aquí tienes: ""Voy a llevar la comida al picnic este fin de semana.""","Of course, here you go: ""I am going to bring the food to the picnic this weekend."""
llorar,to cry,La niña se puso triste y comenzó a llorar.,The girl became sad and started to cry.
luchar,to fight,"Claro, aquí tienes una frase: ""Siempre debemos luchar por nuestros sueños y metas"".","Of course, here is a sentence: ""We must always fight for our dreams and goals."""
mentir,to lie,El niño travieso suele mentir para evitar castigos.,The mischievous boy often lies to avoid punishment.
odiar,to hate,Detesto a esa persona por la forma en que me trató.,I detest that person for the way they treated me.
recibir,to receive,"Claro, aquí tienes: Mañana voy a recibir un paquete en mi casa.","Of course, here you go: Tomorrow I am going to receive a package at my house."
reconocer,to recognize,"Claro, aquí tienes una oración: ""Es importante reconocer y apreciar el esfuerzo de los demás"".","Of course, here is a sentence: ""It is important to recognize and appreciate the efforts of others."""
robar,to steal,El ladrón intentó robar la joyería pero fue arrestado antes de lograrlo.,The thief tried to rob the jewelry store but was arrested before he could accomplish it.
salvar,to save,"Claro, aquí tienes una oración: ""El bombero logró salvar al gato atrapado en el árbol"".","Of course, here is a sentence: ""The firefighter managed to save the cat stuck in the tree.""."
sonreír,to smile,Clara sonrió cuando recibió la buena noticia.,"Sure! Here is a sentence using the phrase 'Clara sonrió cuando recibió la buena noticia.': ""Clara smiled when she received the good news."""
soñar,to dream,"Claro, aquí tienes una oración: ""Me gusta soñar con un mundo lleno de paz y armonía"".","Claro, here is a sentence for you: ""I like to dream of a world full of peace and harmony""."
tomar,to take,Voy a tomar un café para despertarme por la mañana.,I am going to have a coffee to wake up in the morning.
Vivir,to live,"""Disfruto vivir en una ciudad multicultural.""","""I enjoy living in a multicultural city."""
Spice up your Spanish with these common words for your senses.,,Agrega sabor a tu español con estas palabras comunes para tus sentidos.,Add flavor to your Spanish with these common words for your senses.
tranquilo/a – quiet,,El parque estaba tranquilo y silencioso en la mañana.,The park was peaceful and quiet in the morning.
ruidoso/a – loud,,El concierto de rock estaba muy ruidoso anoche.,The rock concert was very loud last night.
gritar,to shout,El niño comenzó a gritar cuando vio la araña en el techo.,"""The boy began to scream when he saw the spider on the ceiling."""
escuchar,to hear,"Claro, aquí tienes una oración: ""Me encanta escuchar música en mi tiempo libre.""","Of course, here is a sentence: ""I love listening to music in my free time."""
silencio,silence,El silencio de la noche era tan profundo que se podían escuchar los latidos de mi corazón.,The silence of the night was so deep that the beats of my heart could be heard.
alto,loud,"El semáforo cambió a rojo, así que los conductores tuvieron que detenerse en el alto.","The traffic light changed to red, so the drivers had to come to a stop at the intersection."
bajo,soft,El gato duerme bajo la mesa.,"""The cat sleeps under the table."""
ensordecedor,deafening,El ensordecedor ruido de la sirena me asustó mucho.,The deafening noise of the siren frightened me a lot.
agudo,"sharp, high-pitched",El olor agudo de las especias llenaba la cocina.,The sharp smell of spices filled the kitchen.
grave,low-pitched,El médico dijo que la enfermedad de la paciente es grave.,The doctor said that the patient's illness is serious.
melodioso,melodious,La voz del cantante era melodiosa y cautivó a todos los presentes.,The singer's voice was melodious and captivated everyone in attendance.
armónico,harmonic,La música en este concierto es muy armónica y relajante.,The music at this concert is very harmonic and relaxing.
zumbido,buzz,El zumbido de las abejas se escuchaba en el jardín.,The buzzing of the bees could be heard in the garden.
sordo,deaf,El hombre sordo utilizó el lenguaje de señas para comunicarse con los demás.,The deaf man used sign language to communicate with others.
duro de oíd,hard of hearing,"Claro, aquí tienes: A veces es difícil comunicarse con él, es un poco duro de oído.","Of course, here you go: Sometimes it's hard to communicate with him, he's a bit hard of hearing."
oído fino,acute hearing,Mi abuela tiene un oído fino para la música clásica.,"""My grandmother has a keen ear for classical music."""
problemas de audición,hearing-impaired,Los problemas de audición pueden afectar la calidad de vida de una persona.,Hearing problems can impact a person's quality of life.
fuera de alcance,out of earshot,El objeto estaba fuera de alcance y no pude alcanzarlo.,The object was out of reach and I couldn't reach it.
ver,to see,Voy a ver una película esta noche.,I'm going to watch a movie tonight.
mirar,to look,Clara estaba mirando las estrellas en el cielo nocturno.,Clara was gazing at the stars in the night sky.
de colores,colorful,Los globos decorativos son de colores brillantes y hermosos.,The decorative balloons are bright and beautiful colors.
blanco y negro,black and white,El arte de fotografía se distingue por sus imágenes en blanco y negro.,The art of photography is distinguished by its black and white images.
brillante,bright,El sol brillante iluminaba el paisaje en la mañana.,The bright sun illuminated the landscape in the morning.
apagado,dim,El televisor está apagado porque nadie lo está viendo.,"""The television set is turned off because no one is watching it."""
claro,light,"¡Por supuesto! ""Claro que quiero ayudarte en lo que necesites.""","""¡Por supuesto! Claro que quiero ayudarte en lo que necesites,"" she said with a warm smile."
oscuro,dark,El bosque estaba tan oscuro que apenas podíamos ver por dónde íbamos.,The forest was so dark that we could barely see where we were going.
ciego,blind,El ciego utilizaba un bastón para desplazarse por la ciudad.,The blind man used a cane to move around the city.
mirar fijamente,to stare,Clara miraba fijamente el paisaje desde la montaña.,Clara was staring fixedly at the landscape from the mountain.
echar un vistazo,to glance,"Por favor, echa un vistazo a mi informe antes de la reunión.","""Please take a look at my report before the meeting."""
bizquear,to squint,La luz intensa me hace bizquear cuando salgo al sol.,The intense light makes me squint when I go out in the sun.
guiñar,to wink,¡Le guiñó el ojo a su amigo para indicarle que todo iba según lo planeado!,He winked at his friend to indicate that everything was going according to plan!
parpadear,to blink,"""Me gusta mirar las estrellas y parpadear rápidamente cuando veo una estrella fugaz.""","""I like to watch the stars and blink quickly when I see a shooting star."""
tocar,to touch,Voy a aprender a tocar la guitarra este verano.,"""Voy a aprender a tocar la guitarra este verano para poder sorprender a mis amigos con mi talento musical."""
agarrar,to grab,¡No te olvides de agarrar tu paraguas antes de salir de casa!,Don't forget to grab your umbrella before leaving the house!
suave,soft,El gato acariciaba con movimientos suaves.,The cat was gently stroking with soft movements.
áspero(a),rough,La superficie de la piedra era áspera al tacto.,The surface of the stone was rough to the touch.
liso(a),smooth,Ella tiene el cabello muy liso y brillante.,She has very straight and shiny hair.
rugoso(a),wrinkled,La textura de la corteza de algunos árboles es rugosa.,The texture of the bark of some trees is rough.
pegajoso(a),sticky,La salsa de tomate estaba muy pegajosa después de que se derramara en la mesa.,The tomato sauce was very sticky after it spilled on the table.
punzante,sharp,El dolor punzante en mi espalda no me permitía moverme con facilidad.,"""The sharp pain in my back made it difficult for me to move easily."""
sedoso(a),silky,El gatito tiene un pelaje sedoso y suave.,The little kitten has a silky and soft fur.
esponjoso(a),spongy,El pastel de chocolate es esponjoso y delicioso.,The chocolate cake is fluffy and delicious.
mullido(a),fluffy,El colchón nuevo es muy mullido y cómodo para dormir.,The new mattress is very soft and comfortable to sleep on.
hormigueo,tingle,El hormigueo en mi brazo es tan intenso que no puedo sentirlo.,The tingling in my arm is so intense that I can't feel it.
entumecido(a),numb,"Después de estar sentado(a) por tanto tiempo, mis piernas estaban entumecidas.","After sitting for so long, my legs were numb."
rozar,to touch gently,La mariposa rosó suavemente la flor con sus alas.,The butterfly gently touched the flower with its wings.
acariciar,to caress,La niña acarició su suave peluche antes de dormir.,"""The girl caressed her soft plush toy before going to sleep."""
agarrar,to grab,La niña tenía miedo de agarrar al pequeño gato negro.,"""The girl was afraid to pick up the little black cat."""
olor,smell,El olor a café recién hecho invadió la habitación.,The smell of freshly brewed coffee filled the room.
el perfume,scent,"Claro, aquí tienes: ""Me encantó el perfume que me regalaste.""","Of course, here you go: ""I absolutely loved the perfume you gave me."""
la fragancia,fragrance,Me encanta la fragancia de las rosas en el jardín.,I love the fragrance of the roses in the garden.
el hedor,stench,El hedor de la basura en la calle es insoportable.,"""The stench of the garbage in the street is unbearable."""
apestoso(a),smelly,¡El queso viejo tiene un olor apestoso pero un sabor delicioso!,The old cheese has a stinky smell but a delicious taste!
fresco(a),fresh,"¡Hoy hace mucho calor, así que es importante mantenerse fresco(a)!","Today is very hot, so it is important to stay cool!"
acre,pungent,El granjero compró una nueva acre de tierra para expandir su cultivo.,The farmer bought a new acre of land to expand his crops.
húmedo(a),musty,El clima en la selva tropical es muy húmedo durante todo el año.,The climate in the rainforest is very humid throughout the year.
podrido(a),rotten,La fruta en la canasta está podrida.,The fruit in the basket is rotten.
ahumado(a),smoky,El salmón ahumado es uno de mis platos favoritos.,Smoked salmon is one of my favorite dishes.
apestar,to stink,El olor a pescado en la cocina apesta.,The smell of fish in the kitchen stinks.
gusto,- taste,¡Es un gusto conocerte!,"""It's a pleasure to meet you!"""
sabor,flavor,El sabor de la comida mexicana es delicioso.,The taste of Mexican food is delicious.
probar,try,"Claro, aquí tienes: ""Voy a probar el nuevo restaurante que abrió en la esquina"".","""¡Claro, aquí tienes: 'Voy a probar el nuevo restaurante que abrió en la esquina.'!"""
sabroso,está sabrosa,¡Esta sopa está sabrosa!,"""This soup is flavorful!"""
delicioso,delicious,El pastel de chocolate estaba delicioso.,"""The chocolate cake was delicious."""
